fold,row_id,yield_strength_mpa
2,259,1599.4
2,276,1390.4
2,283,1784.5
2,288,1340.1
2,300,1304.3
2,306,1172.0
3,1,1123.1
3,6,2501.1
3,13,2402.3
3,21,2372.4
3,30,2381.6
3,33,1825.8
3,41,1502.0
3,42,2157.3
3,43,1287.4
3,48,1571.2
3,49,1288.4
3,51,1460.7
3,55,1309.1
3,56,1669.3
3,57,1382.2
3,62,1373.9
3,72,1233.3
3,81,1267.1
3,85,1731.7
3,87,1311.1
3,90,1278.2
3,91,1368.5
3,94,1369.5
3,104,1332.7
3,112,1350.4
3,118,1393.5
3,125,1429.7
3,129,1282.2
3,146,1071.4
3,153,1019.7
3,166,1629.9
3,170,1522.7
3,172,1426.2
3,175,1455.4
3,182,1357.9
3,187,1297.5
3,194,1391.2
3,199,1155.0
3,202,1074.9
3,205,1667.4
3,220,1182.0
3,226,1258.8
3,227,1414.5
3,242,1207.8
3,244,1125.0
3,246,2005.5
3,248,1087.0
3,252,1577.8
3,255,1383.5
3,260,1683.0
3,264,1061.7
3,269,1194.0
3,270,1390.4
3,275,1730.2
3,279,1674.6
3,284,1324.3
3,285,1188.5
3,290,1688.1
3,292,1136.9
3,294,1167.2
3,303,1564.0
3,304,1021.0
4,0,2411.5
4,5,1328.3
4,7,1228.9
4,10,2411.5
4,12,1274.7
4,14,1460.7
4,15,1243.4
4,17,1412.5
4,24,1169.4
4,27,1580.0
4,28,1164.4
4,35,1837.9
4,36,1133.4
4,37,1358.2
4,38,1354.2
4,50,1143.7
4,54,1338.0
4,60,1341.7
4,74,1344.4
4,78,1438.6
4,84,1372.9
4,97,1575.5
4,100,1233.3
4,102,1376.7
4,108,1299.8
4,114,1130.0
4,115,1237.0
4,128,1412.5
4,133,1258.2
4,135,1792.1
4,143,1005.9
4,144,1525.0
4,149,1040.4
4,158,1536.5
4,159,1250.5
4,169,1615.8
4,177,1521.3
4,186,1285.0
4,196,1276.5
4,198,1294.9
4,203,1157.5
4,204,1280.8
4,210,1091.4
4,218,1173.8
4,223,1163.0
4,228,1167.2
4,232,1243.0
4,238,1010.8
4,239,1194.0
4,245,2006.0
4,249,1475.8
4,261,1716.3
4,263,1263.6
4,267,1150.6
4,281,1437.3
4,291,1254.0
4,295,1736.3
4,298,1420.0
4,305,1681.2
4,307,1722.5
4,310,1812.1
4,311,1139.7
