molecule_id,smiles,log_solubility
61,CCCOC(=O)CC,-0.82
62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
66,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
67,NC(=O)c1cnccn1,-0.667
68,CCC(Br)(CC)C(=O)NC(N)=O,-2.68
69,Clc1ccccc1c2ccccc2Cl,-5.27
70,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,-3.38
71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
72,CC1(C)C2CCC1(C)C(=O)C2,-1.96
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
74,CCCCC(=O)OCC,-2.25
75,CC(C)CCOC(=O)C,-1.92
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
77,Clc1cccc(c1)c2cc(Cl)ccc2Cl,-6.01
78,CCCBr,-1.73
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
80,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
81,Cc1ncnc2nccnc12,-0.466
82,NC(=S)N,0.32
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
87,CCCN(=O)=O,-0.8
88,CC(C)C1CCC(C)CC1=O,-2.35
89,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,-5.36
91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-3.46
92,c1ccc2c(c1)c3cccc4cccc2c34,-6.0
93,CCCOC(C)C,-1.34
94,Cc1cc(C)c2ccccc2c1,-4.29
95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.07
97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
98,C1OC1c2ccccc2,-1.6
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.43
102,C1OC(O)C(O)C(O)C1O,0.39
103,ClCCl,-0.63
104,CCc1cccc2ccccc12,-4.17
105,COC=O,0.58
107,Cc1c[nH]c(=O)[nH]c1=O,-1.506
108,CC(C)C,-2.55
109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
112,CCCCC,-3.18
114,Nc3ccc2cc1ccccc1cc2c3,-5.17
115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523
116,c1ccc2cnccc2c1,-1.45
119,Clc1ccccc1c2ccccc2,-4.54
120,CCCC(=C)C,-3.03
121,CC(C)C(C)C(C)C,-4.8
124,CCCCCCCCC=C,-5.51
125,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
126,CCCCc1c(C)nc(nc1O)N(C)C,-2.24
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
128,c1ccncc1,0.76
129,CCCCCCCBr,-4.43
130,Cc1ccncc1C,0.36
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,-3.43
133,CCOC(=O)CC(=O)OCC,-0.82
134,CC1=CCC(CC1)C(C)=C,-4.26
135,C1Cc2ccccc2C1,-3.04
137,O=C2NC(=O)C1(CC1)C(=O)N2,-1.886
139,Brc1cccc2ccccc12,-4.35
140,CC/C=C/C,-2.54
141,Cc1cccc(C)n1,0.45
142,ClC=C(Cl)Cl,-1.96
143,Nc1cccc2ccccc12,-1.92
145,Oc2ncc1nccnc1n2,-1.947
146,CO,1.57
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
148,CCC(=O)C,0.52
149,Fc1c[nH]c(=O)[nH]c1=O,-1.077
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,-1.95
152,CCCCCCO,-1.24
153,CCCCCCl,-2.73
154,C=CC=C,-1.87
155,CCCOC(=O)C,-0.72
156,Oc2ccc1CCCCc1c2,-1.99
157,NC(=O)CCl,-0.02
160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01
162,CCCCCC=O,-1.3
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,-3.043
165,CC(C)=CCC/C(C)=C\CO,-2.46
166,Clc1ccc(cc1)c2ccccc2Cl,-5.28
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
168,CCN(=O)=O,-0.22
171,CCCC(C)(COC(N)=O)COC(N)=O,-1.807
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,-4.65
173,CI,-1.0
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,-1.13
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
176,CC1=CC(=O)CC(C)(C)C1,-1.06
177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
178,CCCCC(=O)CCCC,-2.58
179,CCC1(CCC(=O)NC1=O)c2ccccc2,-2.337
180,CCC(C)CC,-3.68
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6
182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
183,ClCC#N,-0.092
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,-5.66
186,c1ccnnc1,1.1
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
190,CCCCCCCCC(=O)OCC,-3.8
193,CCC(C)Cl,-1.96
194,Oc1ccc2ccccc2c1,-2.28
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001
196,CCCCC#C,-2.36
197,CCCCCCCC#C,-4.24
199,CC(C)OC(C)C,-1.1
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
201,CNN,1.34
202,CC#C,-0.41
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
205,C=CC=O,0.57
206,O=c1[nH]cnc2nc[nH]c12,-2.296
207,Oc2ccc1ncccc1c2,-2.16
209,CCCCl,-1.47
210,CCOC(=O)C,-0.04
211,CCCC(C)(C)C,-4.36
213,CC12CCC(CC1)C(C)(C)O2,-1.64
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
215,Clc1ccc(cc1)c2ccc(Cl)cc2,-6.56
216,Cc1cccnc1C,0.38
217,CC(=C)C1CC=C(C)C(=O)C1,-2.06
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
222,c1c(Br)ccc2ccccc12,-4.4
224,COc2cnc1ncncc1n2,-1.139
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,-3.19
226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
227,CC(=C)C=C,-2.03
228,CC(C)=CCCC(O)(C)C=C,-1.99
230,OC1CCCCC1,-0.44
231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16
233,OCC(O)C(O)C(O)C(O)CO,0.06
234,Cc1ccc(cc1)c2ccccc2,-4.62
235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
237,CCCC(=O)CCC,-1.3
238,CC(=O)C(C)(C)C,-0.72
240,O=C1CCCCC1,-0.6
242,ClC(Cl)(Cl)C#N,-2.168
243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
244,CCCCCCCCC(=O)C,-3.3
245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62
251,CSC,-0.45
253,CCOC(=O)N,0.85
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35
255,CC(C)C(O)C(C)C,-1.22
256,c1ccc2ccccc2c1,-3.6
258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,-7.28
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678
265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
267,CCCCBr,-2.37
269,CC(C)CC(=O)C,-0.74
270,CCSC(=O)N(CC)C1CCCCC1,-3.4
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
273,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
275,Ic1cccc2ccccc12,-4.55
276,OCC(O)C(O)C(O)C(O)CO,1.09
277,CCS,-0.6
278,ClCC(Cl)Cl,-1.48
279,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
284,CCCCCCCCl,-4.0
285,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
286,C(Cc1ccccc1)c2ccccc2,-4.62
287,ClC(Cl)C(Cl)Cl,-1.74
288,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,-5.153
289,Cc1ccc2c(ccc3ccccc32)c1,-5.84
292,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
296,CCCCCCCl,-3.12
297,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
298,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
299,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
300,CCN2c1ccccc1N(C)C(=O)c3cccnc23,-3.324
301,CC(Cl)Cl,-1.29
304,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
307,ClC(Cl)(Cl)Cl,-2.31
309,OC1CCCCCCC1,-1.29
310,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
312,C/C1CCC(\C)CC1,-4.47
313,c1cnc2c(c1)ccc3ncccc23,-2.68
314,COC(C)(C)C,-0.24
316,CCCCCCCCCCCCCCCCO,-7.0
317,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002
318,Nc1ncnc2nc[nH]c12,-2.12
319,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21
320,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
321,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
322,O=C(Nc1ccccc1)Nc2ccccc2,-3.15
323,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322
324,Clc1ccc(cc1)c2cccc(Cl)c2Cl,-6.29
326,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
327,CCC(C)(C)CO,-1.04
328,CCCOC(=O)CCC,-1.75
331,C1CCCCCC1,-3.51
332,CCCOC=O,-0.49
335,CC(C)CC(C)C,-4.26
336,o1c2ccccc2c3ccccc13,-4.6
337,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
339,c3ccc2nc1ccccc1cc2c3,-3.67
340,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
341,OCC1OC(O)C(O)C(O)C1O,0.74
343,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,-3.5860000000000003
344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005
346,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
347,CCCCCCCCCC(=O)OCC,-4.1
349,CCCOCC,-0.66
350,CC(C)O,0.43
351,Cc1ccc2ccccc2c1,-3.77
352,ClC(Br)Br,-1.9
353,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
354,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
356,C/C=C/C=O,0.32
358,Cc1c2ccccc2c(C)c3ccccc13,-6.57
359,CCCCCC(=O)OC,-1.87
360,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
363,C1CCC=CC1,-2.59
364,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
365,c1cncnc1,1.1
367,CCC(=O)OC,-0.14
370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
373,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,-3.78
377,CCCC(=O)OC,-1.92
379,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
380,CCCCCC(=O)OCC,-2.35
381,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-1.84
382,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
383,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
384,CCCCCCC=C,-4.44
386,Nc1nccs1,-0.36
388,CCCC(O)CC,-0.8
389,c3ccc2c(O)c1ccccc1cc2c3,-4.73
390,Cc1ccc2cc3ccccc3cc2c1,-6.96
393,CCCCCCCC(C)O,-2.74
394,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
395,CCCC(=O)CC,-0.83
397,Clc1ccc(cc1Cl)c2ccccc2,-6.39
398,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
399,Oc1cccc2ncccc12,-2.54
400,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
401,CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81
403,ClCBr,-0.89
404,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
405,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-4.63
409,OC1CCCCCC1,-0.88
411,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
412,CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.36
414,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
415,C1CCOC1,0.49
417,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28
418,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.81
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
421,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
422,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4
424,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,-3.952
425,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
427,C1SC(=S)NC1(=O),-1.77
428,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083
429,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
430,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
431,C1CCCCC1,-3.1
432,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
434,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
435,CCCCCCCCO,-2.39
436,CCSCC,-1.34
437,ClCCCl,-1.06
438,CCC(C)(C)Cl,-2.51
439,ClCCBr,-1.32
441,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
442,CCN2c1ncccc1N(CC)C(=O)c3cccnc23,-2.86
444,CCCCCCCC=C,-5.05
446,CCC(C)(O)CC,-0.36
448,NC(=O)NC1NC(=O)NC1=O,-1.6
449,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
450,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2
451,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.184
452,Clc1cccc2ccccc12,-3.93
453,CCN2c1ccccc1N(C)C(=O)c3ccccc23,-4.749
454,CCCCC(C)O,-0.89
455,CCCC1CCCC1,-4.74
456,CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
458,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
459,c2ccc1ocnc1c2,-1.16
460,CCCCCO,-0.6
463,ClCCC#N,-0.29
465,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
467,c2ccc1[nH]nnc1c2,-0.78
468,CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
470,CC(C)C(C)O,-0.18
471,c1ccccc1C(O)c2ccccc2,-2.55
472,CCCCCCCCCC(=O)OC,-4.69
474,CC(C)CBr,-2.43
475,CCI,-1.6
476,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95
477,CCCCCCBr,-3.81
478,CCCC(C)C,-3.74
479,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001
481,ON=Cc1ccc(o1)N(=O)=O,-2.19
482,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003
483,Nc1nc[nH]n1,0.522
484,BrC(Br)Br,-1.91
485,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
486,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
488,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84
490,CC(C)Br,-1.59
491,CC(C)CC(C)(C)C,-4.74
493,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
494,CCC,-1.94
495,Nc1cc(nc(N)n1=O)N2CCCCC2,-1.989
496,Nc2cccc3nc1ccccc1cc23,-4.22
497,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49
498,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666
499,C1Cc2cccc3cccc1c23,-4.63
500,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34
502,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
503,Oc1ccc(cc1)c2ccccc2,-3.48
504,CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.56
505,CCOC=C,-0.85
506,CCC#C,-1.24
507,COc1ncnc2nccnc12,-1.11
508,CCCCC(C)(O)CC,-1.6
510,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
511,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981
512,Cc1c[nH]c2ccccc12,-2.42
513,COc2ncc1nccnc1n2,-1.11
514,CNC(=O)Oc1ccccc1C2OCCO2,-1.57
515,C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
516,CC#N,0.26
517,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
518,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59
519,ClCC(Cl)(Cl)Cl,-2.18
520,CCCCO,0.0
521,CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
523,O=Cc1ccco1,-0.1
524,CC(C)CCO,-0.51
525,O=Cc2ccc1OCOc1c2,-1.63
526,CC(=C)C,-2.33
528,CC(=C)C(=C)C,-2.4
529,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
530,O2c1ccccc1N(C)C(=O)c3cccnc23,-3.672
531,C1c2ccccc2c3ccccc13,-5.0
532,CC1CCCCC1,-3.85
535,CC1CCCO1,0.11
536,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
537,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
538,CCCI,-2.29
539,CCNc1nc(NC(C)C)nc(SC)n1,-3.04
540,CCCO,0.62
541,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
542,CCCC(C)O,-0.29
543,OC(C(=O)c1ccccc1)c2ccccc2,-2.85
546,Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
547,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,-6.57
548,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
549,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
550,CCC(C)CCO,-0.71
551,Cc2ncc1nccnc1n2,-0.12
552,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
553,CCCCI,-2.96
554,Brc1ccc2ccccc2c1,-4.4
555,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
558,c1ccc2c(c1)sc3ccccc23,-4.38
559,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,-7.8
560,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01
561,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,-3.893
562,c1ccccc1C(O)C(O)c2ccccc2,-1.93
564,CCCCCCCC(=O)OCC,-3.39
565,CCSSCC,-2.42
566,CCOCCOCC,-0.77
568,Nc1ccc(cc1)c2ccc(N)cc2,-2.7
569,CCCCCC=C,-3.73
570,CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
571,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
574,CCCCN(CC)C(=O)SCCC,-3.53
575,CCCCOC=O,-1.37
576,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
577,BrC(Cl)Cl,-1.54
578,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48
579,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
581,CBr,-0.79
582,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
583,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
584,CCc1ccc2ccccc2c1,-4.29
585,Nc1c(C)c[nH]c(=O)n1,-1.4580000000000002
586,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl,-7.92
587,c1c(NC(=O)c2ccccc2(I))cccc1,-4.21
